ESCOLA,DEPENDENCIA,CATEGORIA,LOCALIZACAO,ENDERECO,CEP,TELEFONE,AREA_VERDE,AUDITORIO,BANHEIRO_PNE,BIBLIOTECA,IN_LABORATORIO_INFORMATICA,PATIO_COBERTO,PARQUE_INFANTIL,QUADRA_ESPORTES,REFEITORIO,RECURSOS_ACESSIBILIDADE,INTERNET_ALUNOS,ALIMENTACAO,ED_INF,ED_FUND,ED_MED,ED_PROF,ED_EJA,ED_ESP
CEI OSVALDO DESCHAMPS,Municipal,Pública,Urbana,RUA DA GLORIA - 1419 - GLORIA,89025301,(47) 33816338,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI THIAGO ANZINI,Municipal,Pública,Urbana,RUA JOAQUIM MOSER - 250 - AGUA VERDE,89042040,(47) 33816516,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI ANTONIO JOSE CURTIPASSI,Municipal,Pública,Urbana,RUA ARARANGUA - 678 - GARCIA,89020300,(47) 33816514,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROFESSORA MARIA ZIMMERMANN,Municipal,Pública,Urbana,RUA HENRIQUE WATSON - 70 - BOA VISTA,89012375,(47) 33816553,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI MANOEL DA LUZ RAMPELOTI,Municipal,Pública,Urbana,RUA BENJAMIN CONSTANT - 736 - ESCOLA AGRICOLA,89037500,(47) 33816552,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI ERICA BRAUN,Municipal,Pública,Urbana,RUA CATHARINA BRAUN - 151 - AGUA VERDE,89037210,(47) 33816490,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI ANILDA BATISTA SCHMITT,Municipal,Pública,Urbana,RUA FRANCISCO VAHLDIECK - 1076 - FORTALEZA,89056000,(47) 33816399,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CENTRO DE EDUCACAO INFANTIL ELISA HORT,Municipal,Pública,Urbana,RUA PROGRESSO - 3915 - PROGRESSO,89027003,(47) 33816519,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI HEINRICH REIF,Municipal,Pública,Urbana,RUA HENRIQUE REIF - 661 - NOVA ESPERANCA,89051300,(47) 33816513,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI MANOELA REINERT,Municipal,Pública,Urbana,RUA HELMUTH SIEVERT - 98 - ITOUPAVA NORTE,89053660,(47) 33816544,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI JOSE DICKMANN,Municipal,Pública,Urbana,RUA BAHIA - 8490 - SALTO WEISSBACH,89032002,(47) 33816508,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PEDRO KRAUSS,Municipal,Pública,Urbana,RUA MARCELINO SCHNEIDER - 34 - VORSTADT,89015256,(47) 33816493,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROFESSOR ANSELMO ANTONIO HILLESHEIM,Municipal,Pública,Urbana,RUA ARI SANTERRI - 60 - SALTO DO NORTE,89065330,(47) 33817978,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI HERONDINA HELENA DA SILVA,Municipal,Pública,Urbana,RUA URUGUAIANA - 50 - PONTA AGUDA,89050520,(47) 33816555,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI WALTER ROSEMANN,Municipal,Pública,Rural,RUA PROFESSOR HERMANN LANGE - 2268 - FIDELIS,89060300,(47) 33816529,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI EVALINO ROTH,Municipal,Pública,Urbana,RUA AQUIDABA - 94 - ESCOLA AGRICOLA,89037740,(47) 33816496,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROFESSORA LEONIDES WESTARB,Municipal,Pública,Urbana,RUA ITAJAI - 3434 - VORSTADT,89015201,(47) 33816494,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI ANTON MAX ARTUR SPRANGER,Municipal,Pública,Urbana,RUA WALTER WACHOLZ - 55 - TESTO SALTO,89074130,(47) 33816409,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
